Vendor Name,Vendor ID,OTP Sent,Response Time (ms),Error Rate,Date,Country Code,Phone Number,Day,Response Time (s),Success Rate,Time Period,Vendor Performance,Failover Mechanism,Primary Vendor Failure Rate,Delay Time (s),Backup Vendor Success Rate,Retry Attempts,Device Type,Location,Network Latency (ms),Adjusted Response Time,Adjusted Success Rate,Vendor Priority,Operator
Vendor A,21a57051-3c6b-4722-86c2-6b17d03e21f6,0,7726,0.152580995,1/11/2025,966,576586120,Saturday,7.726,0.1847419,1,Low,Switch to Backup Vendor,0.238026353,8.99828218,0.814958202,2,Desktop,Rural,473,1.178840769,0.14076846,1,Virgin
Vendor B,33c7018d-79d9-4804-bd51-4b0e2f8b67ae,0,9143,0.084761715,1/10/2025,966,558490794,Friday,9.143,0.191523828,1,Low,Switch to Backup Vendor,0.132228276,10.64862723,0.814958202,1,Mobile,Suburban,96,0.774976364,0.166198963,2,STC
Vendor B,e107935b-3cc7-44f5-af06-232ba328f0ba,0,14445,0.03570613,1/2/2025,966,548476483,Thursday,14.445,0.196429387,1,Low,Switch to Backup Vendor,0.055701563,16.82373623,0.814958202,2,Tablet,Rural,267,0.515775054,0.185487963,2,Mobily
Vendor C,a3e1e4f3-2fc5-4c51-8216-74a0e699706f,1,7103,0.135305318,1/13/2025,966,597147595,Monday,7.103,0.745877873,0,Medium,Delivered,0.162366381,8.272689402,0.814958202,0,Desktop,Rural,390,0.961073672,0.624772382,3,Zain
Vendor C,bdd901fe-c6c3-473f-9104-4b897d0f600b,1,14009,0.156541517,1/23/2025,966,508953520,Thursday,14.009,0.737383393,1,Medium,Delivered,0.244204766,16.31593775,0.814958202,2,Mobile,Suburban,238,2.19299011,0.557310854,3,STC
Vendor B,963ca1ea-0a8f-4019-bfd2-7b299481e9bc,0,1845,0.122802043,1/10/2025,966,589825889,Friday,1.845,0.187719796,0,Low,Switch to Backup Vendor,0.147362452,2.148826122,0.814958202,2,Desktop,Urban,366,0.226569769,0.160056946,2,Zain
Vendor B,2a23d9af-e182-4f67-a54d-28dedc6702ea,0,5594,0.148975175,1/23/2025,966,576446453,Thursday,5.594,0.185102483,0,Low,Switch to Backup Vendor,0.17877021,6.515194216,0.814958202,1,Tablet,Rural,66,0.833367128,0.152011673,2,Virgin
Vendor C,1c290c39-540b-4613-b53b-81834853d58d,0,3921,0.167768206,1/24/2025,966,571488506,Friday,3.921,0.183223179,0,Low,Switch to Backup Vendor,0.201321848,4.566692263,0.814958202,2,Tablet,Rural,437,0.657819137,0.14633635,3,Virgin
Vendor A,d34ea923-dcf9-4bc8-aed8-d5b2497d8b84,0,4777,0.111704716,1/4/2025,966,565106944,Saturday,4.777,0.188829528,1,Low,Switch to Backup Vendor,0.174259357,5.56365441,0.814958202,2,Tablet,Rural,252,0.533613429,0.155924216,1,Mobily
Vendor B,b220828a-e11e-444a-8b8f-eaf279d1906c,1,4506,0.165794793,1/28/2025,966,559066822,Tuesday,4.506,0.733682083,0,Medium,Delivered,0.198953752,5.248027375,0.814958202,0,Tablet,Urban,79,0.747071337,0.58771328,2,STC
Vendor B,fa6ca723-6aa9-4767-ba25-50398c0a2599,0,8333,0.177383292,1/12/2025,966,573719658,Sunday,8.333,0.182261671,0,Low,Switch to Backup Vendor,0.21285995,9.705240151,0.814958202,2,Tablet,Suburban,353,1.478134969,0.143465461,2,Virgin
Vendor B,8aedd89e-637a-4d41-b2ca-e98a3b19664a,0,4448,0.158109267,1/28/2025,966,573715917,Tuesday,4.448,0.184189073,0,Low,Switch to Backup Vendor,0.189731121,5.180476202,0.814958202,1,Mobile,Urban,348,0.703270021,0.149242674,2,Virgin
Vendor B,20b5688f-4a93-4184-ac3d-47617aa27456,1,4386,0.184492841,1/15/2025,966,575022586,Wednesday,4.386,0.726202864,0,Medium,Delivered,0.221391409,5.108266327,0.814958202,1,Tablet,Urban,383,0.8091856,0.565427788,2,Virgin
Vendor A,a3d67b15-3c13-4502-8ef8-0215121b1622,0,7470,0.158828883,1/13/2025,966,584136513,Monday,7.47,0.184117112,1,Low,Switch to Backup Vendor,0.247773058,8.700125276,0.814958202,2,Mobile,Urban,236,1.186451757,0.138497852,1,Zain
Vendor A,24dbb6f8-7a57-4794-b177-c5c54a94ac5b,0,4338,0.088579538,1/26/2025,966,568028971,Sunday,4.338,0.191142046,1,Low,Switch to Backup Vendor,0.138184079,5.052361907,0.814958202,1,Desktop,Urban,170,0.384258036,0.164729259,1,Mobily
Vendor A,707fc89e-6ac5-4c23-b397-f2ed60d3bc8a,1,2992,0.088817084,1/7/2025,966,578704192,Tuesday,2.992,0.764473166,0,Medium,Delivered,0.106580501,3.484708812,0.814958202,0,Mobile,Urban,455,0.265740716,0.682995233,1,Virgin
Vendor A,7f4493d8-076a-4eff-a206-877e3f8d9732,0,7450,0.109991193,1/1/2025,966,501082060,Wednesday,7.45,0.189000881,1,Low,Switch to Backup Vendor,0.171586261,8.676831768,0.814958202,1,Mobile,Suburban,265,0.819434385,0.156570926,1,STC
Vendor A,8c5dc1e2-7dc1-4885-b7b4-76c29a23148c,0,11094,0.145862072,1/9/2025,966,597664855,Thursday,11.094,0.185413793,0,Low,Switch to Backup Vendor,0.175034487,12.92090894,0.814958202,1,Mobile,Urban,429,1.61819383,0.152959985,1,Zain
Vendor B,e2d6d956-7132-46c8-adba-fd0b0fca0fca,1,2390,0.100759938,1/17/2025,966,503324816,Friday,2.39,0.759696025,0,Medium,Delivered,0.120911926,2.783574218,0.814958202,0,Desktop,Urban,375,0.240816253,0.667839715,2,STC
Vendor B,37e5b69b-cd16-43d2-9a87-a26b1202e165,0,9466,0.098668968,1/23/2025,966,555765811,Thursday,9.466,0.190133103,1,Low,Switch to Backup Vendor,0.15392359,11.02481738,0.814958202,0,Mobile,Rural,121,0.93400045,0.160867133,2,STC
Vendor A,1fccd6e0-a353-4dd9-8526-2d6a493580fd,1,2573,0.11669689,1/12/2025,966,560453300,Sunday,2.573,0.753321244,0,Medium,Delivered,0.140036268,2.996709817,0.814958202,0,Mobile,Rural,168,0.300261099,0.647828948,1,Mobily
Vendor A,50c5d517-acdb-4ba1-9006-632c7a969dc1,0,4273,0.155894633,1/15/2025,966,568299303,Wednesday,4.273,0.184410537,0,Low,Switch to Backup Vendor,0.18707356,4.976658006,0.814958202,0,Desktop,Suburban,265,0.666137767,0.149912201,1,Mobily
Vendor B,d9723a19-abbd-4e55-914b-a0fe608c2f70,1,1008,0.042177886,1/24/2025,966,573006446,Friday,1.008,0.783128846,0,Medium,Delivered,0.050613463,1.173992808,0.814958202,0,Desktop,Urban,183,0.042515309,0.743491982,2,Virgin
